ID,Sex,Spayed_or_not,Birthday
094-004925,Male,Neutered,2012-10
094-004928,Male,Intact,2012-02
094-004930,Female,Neutered,2012-09
094-004951,Male,Neutered,2012-04
094-004963,Male,Intact,2011-04
094-004966,Male,Intact,2011-10
094-004968,Female,Neutered,2012-03
094-004983,Female,Intact,2012-05
094-004989,Female,Neutered,2011-06
094-005010,Female,Neutered,2012-04
094-005014,Female,Neutered,2011-06
094-005020,Female,Intact,2012-06
094-005026,Male,Neutered,2012-08
094-005029,Male,Intact,2012-11
094-005031,Male,Intact,2012-12
094-005043,Male,Neutered,2012-12
094-005070,Male,Neutered,2011-09
094-005074,Female,Neutered,2011-11
094-005077,Male,Neutered,2012-01
094-005079,Male,Neutered,2012-02
094-005084,Male,Neutered,2012-11
094-005130,Female,Neutered,2011-05
094-005137,Female,Neutered,2012-07
094-005157,Female,Neutered,2012-04
094-005204,Male,Neutered,2012-03
094-005230,Female,Neutered,2012-10
094-005232,Male,Neutered,2012-05
094-005233,Female,Neutered,2012-05
094-005235,Female,Neutered,2012-10
094-005257,Female,Neutered,2011-03
094-005287,Female,Neutered,2012-01
094-005289,Male,Neutered,2012-07
094-005292,Female,Intact,2011-07
094-005299,Female,Neutered,2011-11
094-005305,Male,Neutered,2011-05
094-005311,Male,Neutered,2012-05
094-005337,Male,Neutered,2012-01
094-005339,Female,Neutered,2011-08
094-005350,Male,Neutered,2011-04
094-005352,Female,Neutered,2012-11
094-005356,Male,Neutered,2012-08
094-005371,Male,Neutered,2012-10
094-005374,Male,Neutered,2012-03
094-005378,Female,Intact,2012-09
094-005392,Male,Neutered,2011-11
094-005394,Male,Neutered,2012-11
094-005396,Male,Intact,2012-11
094-005404,Female,Neutered,2011-04
094-005417,Female,Neutered,2011-10
094-005420,Male,Neutered,2013-01
094-005423,Male,Neutered,2012-09
094-005445,Male,Neutered,2011-05
094-005448,Female,Neutered,2011-12
094-005450,Female,Neutered,2012-11
094-005453,Female,Neutered,2012-01
094-005457,Female,Neutered,2011-04
094-005459,Male,Neutered,2012-08
094-005461,Male,Neutered,2013-01
094-005467,Male,Neutered,2012-01
094-005469,Female,Intact,2011-11
094-005471,Male,Neutered,2011-05
094-005481,Female,Neutered,2011-09
094-005485,Female,Neutered,2011-07
094-005493,Female,Neutered,2012-05
094-005497,Male,Neutered,2012-09
094-005511,Female,Neutered,2011-11
094-005519,Female,Neutered,2011-05
094-005525,Female,Neutered,2012-02
094-005535,Male,Neutered,2011-11
094-005543,Female,Neutered,2011-11
094-005550,Male,Neutered,2012-03
094-005554,Female,Neutered,2012-12
094-005569,Female,Neutered,2011-06
094-005588,Female,Neutered,2011-04
094-005596,Male,Neutered,2011-10
094-005622,Male,Intact,2012-12
094-005633,Male,Intact,2011-11
094-005643,Female,Neutered,2012-01
094-005649,Male,Intact,2011-05
094-005659,Male,Neutered,2012-08
094-005669,Male,Neutered,2012-05
094-005678,Female,Neutered,2012-07
094-005679,Male,Neutered,2012-07
094-005682,Male,Intact,2012-09
094-005736,Female,Neutered,2012-05
094-005786,Female,Neutered,2012-11
094-005807,Male,Intact,2012-02
094-005831,Male,Neutered,2012-02
094-005854,Male,Neutered,2012-09
094-005865,Male,Neutered,2012-04
094-005879,Female,Intact,2012-04
094-005887,Female,Neutered,2012-05
094-005918,Male,Intact,2011-12
094-005949,Male,Intact,2012-04
094-005963,Female,Neutered,2011-10
094-005965,Male,Neutered,2011-06
094-005972,Female,Neutered,2012-03
094-005989,Female,Intact,2011-10
094-006038,Female,Neutered,2012-04
094-006059,Male,Intact,2011-10
094-006087,Female,Intact,2011-08
094-006099,Male,Neutered,2012-03
